Title:,Missouri Resident Deaths ,
Data selected in addition to rows and columns below:,None,,
Year: ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,Total for selection , ,
Statistics: ,Count ,Count ,Count ,Count ,Count ,Count ,Count ,Count , ,
Osage ,123 ,122 ,141 ,147 ,136 ,145 ,165 ,979 , ,
Ozark ,119 ,129 ,133 ,139 ,111 ,160 ,187 ,978 , ,
Pemiscot ,245 ,237 ,231 ,241 ,222 ,303 ,294 ,1773 , ,
Perry ,193 ,218 ,186 ,219 ,194 ,258 ,225 ,1493 , ,
Pettis ,435 ,445 ,495 ,482 ,445 ,589 ,517 ,3408 , ,
Phelps ,480 ,494 ,475 ,430 ,482 ,591 ,602 ,3554 , ,
Pike ,209 ,204 ,211 ,213 ,195 ,230 ,212 ,1474 , ,
Platte ,671 ,691 ,750 ,747 ,744 ,877 ,907 ,5387 , ,
Polk ,337 ,329 ,419 ,374 ,382 ,420 ,428 ,2689 , ,
Pulaski ,311 ,320 ,330 ,339 ,344 ,407 ,459 ,2510 , ,
Putnam ,60 ,80 ,74 ,61 ,87 ,72 ,89 ,523 , ,
Ralls ,106 ,110 ,90 ,86 ,105 ,146 ,137 ,780 , ,
Randolph ,289 ,295 ,294 ,279 ,301 ,342 ,358 ,2158 , ,
Ray ,235 ,281 ,287 ,277 ,247 ,339 ,354 ,2020 , ,
Reynolds ,94 ,72 ,78 ,99 ,98 ,95 ,112 ,648 , ,
Ripley ,200 ,169 ,200 ,190 ,194 ,220 ,236 ,1409 , ,
Saline ,237 ,255 ,271 ,264 ,251 ,315 ,326 ,1919 , ,
Schuyler ,59 ,46 ,51 ,58 ,50 ,60 ,64 ,388 , ,
Scotland ,75 ,66 ,49 ,41 ,47 ,61 ,68 ,407 , ,
Scott ,423 ,461 ,420 ,469 ,460 ,563 ,583 ,3379 , ,
Shannon ,86 ,89 ,100 ,90 ,123 ,141 ,120 ,749 , ,
